gas_resistance,humidity,pipeTemp,pressure,temperature,time,top_load
59040,14.36,23.06,995.85,23.27,12.03.25 13-20-39,-0.05
60079,14.37,23.06,995.85,23.27,12.03.25 13-20-42,-0.02
60591,14.38,23.06,995.86,23.27,12.03.25 13-20-45,-0.05
60850,14.39,23.06,995.86,23.27,12.03.25 13-20-48,-0.04
61244,14.42,23.06,995.86,23.27,12.03.25 13-20-51,-0.03
62135,14.39,23.06,995.85,23.28,12.03.25 13-20-54,-0.02
62181,14.38,23.06,995.86,23.28,12.03.25 13-20-57,-0.04
62408,14.37,23.06,995.84,23.28,12.03.25 13-21-00,-0.05
62545,14.37,23.06,995.84,23.28,12.03.25 13-21-03,-0.06
62271,14.36,23.06,995.85,23.28,12.03.25 13-21-05,-0.06
62317,14.36,23.06,995.85,23.29,12.03.25 13-21-08,-0.04
62000,14.38,23.06,995.85,23.29,12.03.25 13-21-11,-0.03
62045,14.39,23.06,995.85,23.28,12.03.25 13-21-14,-0.03
62317,14.38,23.06,995.85,23.28,12.03.25 13-21-17,-0.05
62454,14.36,23.06,995.85,23.28,12.03.25 13-21-20,-0.03
62181,14.35,23.06,995.85,23.28,12.03.25 13-21-23,-0.02
62362,14.34,23.06,995.85,23.28,12.03.25 13-21-26,-0.02
62914,14.33,23.06,995.85,23.28,12.03.25 13-21-29,-0.07
63100,14.32,23.06,995.85,23.28,12.03.25 13-21-32,-0.08
62914,14.35,23.06,995.84,23.28,12.03.25 13-21-35,-0.05
63476,14.35,23.06,995.85,23.27,12.03.25 13-21-38,-0.03
62637,14.35,23.06,995.84,23.27,12.03.25 13-21-41,-0.03
63100,14.35,23.06,995.84,23.27,12.03.25 13-21-44,-0.04
62729,14.36,23.06,995.85,23.27,12.03.25 13-21-47,-0.07
62408,14.38,23.06,995.84,23.26,12.03.25 13-21-50,-0.03
62868,14.39,23.06,995.85,23.26,12.03.25 13-21-53,-0.03
62914,14.41,23.06,995.84,23.27,12.03.25 13-21-56,-0.04
62868,14.43,23.06,995.83,23.27,12.03.25 13-21-59,-0.04
62822,14.47,23.06,995.84,23.27,12.03.25 13-22-02,-0.01
62317,14.5,23.06,995.84,23.27,12.03.25 13-22-05,-0.05
62729,14.54,23.06,995.83,23.27,12.03.25 13-22-08,-0.04
62822,14.54,23.06,995.83,23.27,12.03.25 13-22-11,-0.07
62362,14.53,23.06,995.83,23.27,12.03.25 13-22-13,-0.03
62868,14.53,23.06,995.83,23.27,12.03.25 13-22-16,-0.08
62914,14.52,23.06,995.84,23.27,12.03.25 13-22-19,-0.08
62868,14.51,23.06,995.84,23.27,12.03.25 13-22-22,-0.06
63856,14.47,23.06,995.83,23.27,12.03.25 13-22-25,-0.05
64096,14.44,23.06,995.82,23.27,12.03.25 13-22-28,-0.07
64875,14.4,23.06,995.83,23.27,12.03.25 13-22-33,-0.05
63100,14.37,23.06,995.82,23.26,12.03.25 13-22-36,-0.05
62868,14.37,23.06,995.82,23.25,12.03.25 13-22-38,-0.04
63618,14.41,23.06,995.82,23.25,12.03.25 13-22-41,-0.06
64144,14.41,23.06,995.83,23.25,12.03.25 13-22-44,-0.05
64240,14.42,23.06,995.84,23.25,12.03.25 13-22-47,-0.07
65422,14.39,23.06,995.84,23.25,12.03.25 13-22-50,-0.07
66390,14.38,23.06,995.84,23.25,12.03.25 13-22-53,-0.06
65979,14.37,23.06,995.84,23.26,12.03.25 13-22-56,-0.04
64974,14.4,23.06,995.84,23.26,12.03.25 13-22-59,-0.06
64289,14.43,23.06,995.83,23.26,12.03.25 13-23-02,-0.05
64532,14.44,23.06,995.83,23.26,12.03.25 13-23-05,-0.03
64386,14.49,23.06,995.84,23.26,12.03.25 13-23-08,-0.05
65024,14.48,23.06,995.83,23.27,12.03.25 13-23-11,-0.02
64337,14.51,23.06,995.84,23.27,12.03.25 13-23-14,-0.03
64289,14.54,23.06,995.84,23.27,12.03.25 13-23-17,-0.05
64777,14.55,23.06,995.83,23.27,12.03.25 13-23-20,-0.04
64925,14.53,23.06,995.84,23.27,12.03.25 13-23-23,-0.03
64826,14.49,23.06,995.83,23.27,12.03.25 13-23-26,-0.05
65826,14.46,23.06,995.83,23.27,12.03.25 13-23-29,-0.03
66701,14.44,23.06,995.83,23.27,12.03.25 13-23-34,-0.06
64096,14.53,23.06,995.82,23.26,12.03.25 13-23-37,-0.05
64434,14.53,23.06,995.83,23.26,12.03.25 13-23-40,-0.04
65222,14.54,23.06,995.82,23.26,12.03.25 13-23-43,-0.01
65024,14.56,23.06,995.82,23.26,12.03.25 13-23-46,-0.01
