Batch,Tunge nr,Plassering,Kraft,Filnavn,Vekt [gr],Start time,End time,Tongue Temp (IR),Pipe temp sensor,Pipe temp IR,Frostskade,Avrivningsskade,Dårlig kvalitet,Kommentar,contact_time(s),total_force_app_time(s),num_force_applications,detach_force(g),plot_path
10,2,APEX,Motor,25.03.25 13-04-12.csv,204,2025-03-25 13:03:00,2025-03-25 13:04:59,35.0,-26.0,-12.0,True,False,False,,6.723212,0.0,0,383.71,./main/output/plots/25.03.25 13-04-12.png
10,3,APEX,Rykk,25.03.25 12-52-18.csv,174,2025-03-25 12:51:00,2025-03-25 12:52:59,37.0,-26.0,-17.0,True,True,True,løs hinne som ble igjen,3.116015,0.0,0,951.17,./main/output/plots/25.03.25 12-52-18.png
10,3,BASIS,Motor,25.03.25 13-07-53.csv,174,2025-03-25 13:07:00,2025-03-25 13:08:59,36.0,-10.0,-8.0,True,False,False,,8.980214,0.0,0,551.44,./main/output/plots/25.03.25 13-07-53.png
10,4,BASIS,Motor,25.03.25 12-54-20.csv,173,2025-03-25 12:53:00,2025-03-25 12:54:59,35.0,-21.0,-7.0,True,False,False,,9.280213,0.0,0,422.2,./main/output/plots/25.03.25 12-54-20.png
10,4,APEX,Motor,25.03.25 13-09-37.csv,173,2025-03-25 13:08:00,2025-03-25 13:09:59,37.0,-14.0,-7.0,True,True,True,"Hinne løsnet, står ""før"" på etter-bildet",5.950212,0.0,0,385.6,./main/output/plots/25.03.25 13-09-37.png
10,5,BASIS,Rykk,25.03.25 12-58-34.csv,178,2025-03-25 12:57:00,2025-03-25 12:58:59,31.0,-11.0,-31.0,True,False,False,,7.98,0.0,0,120.86,./main/output/plots/25.03.25 12-58-34.png
10,5,APEX,Rykk,25.03.25 13-11-24.csv,178,2025-03-25 13:10:00,2025-03-25 13:12:59,35.0,-17.0,-6.0,True,True,False,Fine skader. På formalin,7.062985,0.0,0,1940.82,./main/output/plots/25.03.25 13-11-24.png
10,6,APEX,Rykk,25.03.25 13-00-35.csv,186,2025-03-25 13:00:00,2025-03-25 13:01:59,35.0,-21.0,-23.0,True,False,True,,6.733015,0.0,0,607.81,./main/output/plots/25.03.25 13-00-35.png
10,6,BASIS,Rykk,25.03.25 13-15-27.csv,186,2025-03-25 13:15:00,2025-03-25 13:16:59,33.0,-10.0,1.0,False,False,False,Satt ikke fast i røret - validerer IR kamera,4.976,0.0,0,79.34,./main/output/plots/25.03.25 13-15-27.png
11,1,APEX,Rykk,25.03.25 13-31-46.csv,230,2025-03-25 13:31:00,2025-03-25 13:32:59,35.0,-22.0,-5.0,True,False,True,blodig overflate på tunge,8.059,0.0,0,560.32,./main/output/plots/25.03.25 13-31-46.png
